Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"DES","WisdomTree U.S. SmallCap Dividend Fund","27.65","-0.1","down","0.36","-7.81"
"DESC","Xtrackers Russell 2000 Comprehensive Factor ETF","33.7","-0.1782","down","0.53","-9.99"
"DFEN","Direxion Daily Aerospace & Defense Bull 3X Shares","60.68","0.12","up","0.2","7.47"
"DFNL","Davis Select Financial ETF","23.84","0.06","up","0.25","-4"
"DHS","WisdomTree U.S. High Dividend Fund","74.559","-0.011","down","0.01","3.13"
"DIA","SPDR Dow Jones Industrial Average ETF","272.48","0.79","up","0.29","4.48"
"DIG","ProShares Ultra Oil & Gas","24.58","-0.37","down","1.48","-37.87"
"DIV","Global X Super Dividend ETF","23.6351","-0.0549","down","0.23","-6.55"
"DIVB","iShares Trust","28.5","-0.075","down","0.26","4.17"
"DIVO","Amplify CWP Enhanced Dividend Income ETF","31.03","0.2399","up","0.78","4.43"
"DIVY","Realty Shares DIVS ETF","26.06","0.06","up","0.23","-3.72"
"DLN","WisdomTree U.S. LargeCap Dividend Fund","99.5521","0.0621","up","0.06","4.59"
"DMRI","DeltaShares S&P International Managed Risk ETF","48.848","0.233","up","0.48","-2.36"
"DMRL","DeltaShares S&P 500 Managed Risk ETF","57.3892","0","unch","0","-0.05"
"DMRM","DeltaShares S&P 400 Managed Risk ETF","51.43","-0.625","down","1.2","-8.09"
"DMRS","DeltaShares S&P 600 Managed Risk ETF","52.9528","-0.1422","down","0.27","-12.31"
"DOG","ProShares Short Dow30","52.05","-0.16","down","0.31","-6.65"
"DON","WisdomTree U.S. MidCap Dividend Fund","36.502","-0.068","down","0.19","-1.98"
"DPST","Direxion Daily Regional Banks Bull 3X Shares","41.292","-0.608","down","1.45","-49.17"
"DQML","Reality Shares Fundstrat DQM Long ETF","26.5116","0","unch","0","8.48"
"DRN","Direxion Daily Real Estate Bull 3x Shares","29.0082","0.3564","up","1.24","22.86"
"DRV","Drexion Daily Real Estate Bear 3x Shares","28.1","-0.2843","down","1","-36"
"DSTL","Distillate U.S. Fundamental Stability & Value ETF","28.28","0.1354","up","0.48","14.83"
"DTD","WisdomTree U.S. Total Dividend Fund","99.3338","-0.1595","down","0.16","3.42"
"DTN","WisdomTree U.S. Dividend ex-Financials Fund","88.2282","0.0497","up","0.06","-3"
"DUG","ProShares UltraShort Oil & Gas","42.49","0.67","up","1.6","29.47"
"DURA","VanEck Vectors Morningstar Durable Dividend ETF","28.7","0.143","up","0.5","12.38"
"DUSA","Davis Select U.S. Equity ETF","24.2794","0.2098","up","0.87","-4.79"
"DUSL","Direxion Daily Industrials Bull 3X Shares","33.3672","-0.1098","down","0.33","-6.25"
"DVP","Deep Value ETF","31.65","-0.29","down","0.91","-9.49"
"DVY","iShares Select Dividend ETF","103.24","0.02","up","0.02","1.59"
"DVYL","ETRACS 2X Wells Fargo - BDCI","71.5331","-0.6989","down","0.97","-3.92"
"DWAQ","Invesco DWA NASDAQ Momentum ETF","113.465","1.0672","up","0.95","-3.83"
"DWAS","Invesco DWA SmallCap Momentum ETF","52.56","0.06","up","0.11","-11.29"
